Chord,Fixed_Chord,Total_Count,billboard,ireal-pro,isophonics,weimar-jazz
Db:maj(4)/4,Db:maj(4)/4,38,0,38,0,0
"E:(2,5)",E:sus2,38,0,38,0,0
Eb:5,Eb:5,37,37,0,0,0
Bb:maj7/3,Bb:maj7/3,37,2,35,0,0
Ab:13,Ab:13,37,37,0,0,0
B:7/b7,B:7/b7,37,8,29,0,0
"G:(3,b5,b7,b9,b13)","G:7(b9,b13,#11)",37,0,18,0,19
Eb:hdim7,Eb:hdim7,37,0,34,0,3
"C:9(11,13)","C:9(11,13)",37,0,37,0,0
D#:hdim7,D#:hdim7,37,0,32,5,0
Ab:aug(b7),Ab:aug(b7),37,0,37,0,0
G:min7(4)/4,G:min7(4)/4,37,0,37,0,0
Db:maj(9)/9,Db:maj(9)/9,37,0,37,0,0
E:(5)/b9,E:5/b9,37,0,37,0,0
D/b7,D:maj/b7,37,0,0,37,0
F/5,F:maj/5,37,0,0,37,0
"Gb:(4,5,b7,9,11,13)","Gb:sus4(9,11,13)",37,0,0,0,37
D:maj/6,D:maj/6,36,36,0,0,0
B:maj/4,B:maj/4,36,36,0,0,0
Eb:7/5,Eb:7/5,36,31,5,0,0
E:aug,E:aug,36,7,12,17,0
C#:min/b7,C#:min/b7,36,21,0,15,0
F:maj7/7,F:maj7/7,36,1,35,0,0
G:maj6(9),G:maj6(9),36,2,33,1,0
A:min7/5,A:min7/5,36,20,15,1,0
A:min9(11),A:min9(11),36,0,36,0,0
Eb:min(9)/9,Eb:min(9)/9,36,0,36,0,0
F#:minmaj7(9),F#:minmaj7(9),36,0,36,0,0
"Eb:(4,5,b7)",Eb:sus4,36,0,0,0,36
"Bb:(4,5,b7)",Bb:sus4,36,0,0,0,36
G:maj/4,G:maj/4,35,35,0,0,0
B:7/3,B:7/3,35,12,23,0,0
"B:9(b13,11)","B:9(b13,11)",35,0,35,0,0
"F:(3,5,b7,b9)",F:7(b9),35,0,0,0,35
"F:(3,#5,b7)",F:aug,35,0,0,0,35
"C:(3,5,b7,#9)",C:7(#9),35,0,0,0,35
"G:(3,5,b7,9,11,13)","G:7(9,11,13)",35,0,0,0,35
"C:(3,5,6,9)","C:maj(6,9)",35,0,0,0,35
D:maj7/5,D:maj7/5,34,2,32,0,0
Gb:maj6(9),Gb:maj6(9),34,22,12,0,0
Bb:sus4(9),Bb:sus4(9),34,32,0,2,0
Ab:dim,Ab:dim,34,2,5,1,26
"Bb:aug(b7,#9)","Bb:aug(b7,#9)",34,0,34,0,0
"C:sus4(b7,b9)","C:sus4(b7,b9)",34,0,34,0,0
A/5,A:maj/5,34,0,0,34,0
C:min/b7,C:min/b7,33,1,0,1,31
Eb:7/3,Eb:7/3,33,14,14,5,0
F#:min/5,F#:min/5,33,12,6,15,0
G:maj(9)/3,G:maj(9)/3,33,16,17,0,0
Bb:maj/7,Bb:maj/7,33,33,0,0,0
A:aug,A:aug,33,4,5,24,0
A:min7(4)/4,A:min7(4)/4,33,0,33,0,0
Bb:7/b7,Bb:7/b7,33,0,32,0,1
Bb:maj7/5,Bb:maj7/5,33,0,32,1,0
A#:min7,A#:min7,33,0,32,0,1
A:maj(4)/4,A:maj(4)/4,33,0,33,0,0
B/5,B:maj/5,33,0,0,33,0
D:maj7/3,D:maj7/3,32,13,19,0,0
Ab:5,Ab:5,32,32,0,0,0
G:maj(9)/5,G:maj(9)/5,32,32,0,0,0
C#:9,C#:9,32,9,23,0,0
Eb:min/5,Eb:min/5,32,25,7,0,0
D:11,D:11,32,32,0,0,0
E:maj(#9),E:maj(#9),32,32,0,0,0
Eb:maj7/3,Eb:maj7/3,32,0,32,0,0
Ab:maj6/6,Ab:maj6/6,32,0,32,0,0
B:maj7/3,B:maj7/3,32,0,32,0,0
B:maj(9)/9,B:maj(9)/9,32,0,32,0,0
E/4,E:maj/4,32,0,0,32,0
G:maj7/3,G:maj7/3,31,3,2,26,0
C#:5,C#:5,31,31,0,0,0
C#:sus4(b7),C#:sus4(b7),31,11,20,0,0
Eb:maj6/5,Eb:maj6/5,31,1,28,0,2
E:sus4(9),E:sus4(9),31,31,0,0,0
F:maj/4,F:maj/4,31,31,0,0,0
F:min7/4,F:min7/4,31,12,0,0,19
"C:9(13,#11)","C:9(13,#11)",31,14,17,0,0
Bb:min(4)/4,Bb:min(4)/4,31,0,31,0,0
C:maj7/7,C:maj7/7,31,0,30,1,0
C:min(4)/4,C:min(4)/4,31,0,31,0,0
F#:min9(11),F#:min9(11),31,0,31,0,0
D:aug,D:aug,31,0,25,6,0
Ab:min9(11),Ab:min9(11),31,0,31,0,0
A:7(4)/4,A:7(4)/4,31,0,31,0,0
Cb:maj(9)/9,B:maj(9)/9,31,0,31,0,0
"C:(3,#5,b7)",C:aug,31,0,0,0,31
"D:(b3,5,b7,9,11)","D:min7(9,11)",31,0,0,0,31
G:13,G:13,30,30,0,0,0
F#:maj/2,F#:maj/2,30,30,0,0,0
C:maj13,C:maj13,30,30,0,0,0
E:maj6/6,E:maj6/6,30,14,16,0,0
G#:dim,G#:dim,30,9,15,0,6
E:9(#11),E:9(#11),30,0,30,0,0
"A:aug(b7,b9)","A:aug(b7,b9)",30,0,30,0,0
"Bb:sus4(b7,13,11,9)","Bb:sus4(b7,13,11,9)",30,0,30,0,0
G#:maj7,G#:maj7,30,0,30,0,0
Eb:min(#1)/#1,Eb:min(#1)/#1,30,0,30,0,0
Eb:min7/b3,Eb:min7/b3,30,0,30,0,0
E/3,E:maj/3,30,0,0,30,0
F#:9,F#:9,29,4,14,11,0
C:dim,C:dim,29,15,11,0,3
"A:7(b13,b9,11)","A:7(b13,b9,11)",29,0,29,0,0
D:min/b7,D:min/b7,28,14,0,10,4
D#:dim,D#:dim,28,11,10,4,3
G:maj7/5,G:maj7/5,28,5,21,2,0
Bb:min/b7,Bb:min/b7,28,26,0,2,0
"E:(b3,b7)/b7",E:min7/b7,28,28,0,0,0
"E:sus4(b7,9,13)","E:sus4(b7,9,13)",28,28,0,0,0
F:min6/5,F:min6/5,28,17,2,9,0
"C:(3,b5,b7,b9,b13)","C:7(b9,b13,#11)",28,0,15,0,13
"A:9(13,#11)","A:9(13,#11)",28,0,28,0,0
E:(5)/9,E:5/9,28,0,28,0,0
Db:sus4,Db:sus4,27,12,15,0,0
Bb:11,Bb:11,27,27,0,0,0
G:min7/2,G:min7/2,27,27,0,0,0
C:7/6,C:7/6,27,27,0,0,0
D:min/4,D:min/4,27,4,0,22,1
D#:maj,D#:maj,27,16,11,0,0
Bb:min7/b7,Bb:min7/b7,27,3,24,0,0
F:5(b7),F:5(b7),27,27,0,0,0
G:maj9(#11),G:maj9(#11),27,0,27,0,0
"A:(3,b5,b7)",A:7(#11),27,0,27,0,0
Eb:maj7/7,Eb:maj7/7,27,0,27,0,0
E:min6(9),E:min6(9),27,0,27,0,0
"F:(3,b5,b7,b9,b13)","F:7(b9,b13,#11)",27,0,7,0,20
Ab:minmaj7,Ab:minmaj7,27,0,27,0,0
"A:(3,5,b7,#9)",A:7(#9),27,0,0,0,27
D:5(b7),D:5(b7),26,26,0,0,0
A:maj/6,A:maj/6,26,26,0,0,0
D:min13,D:min13,26,26,0,0,0
F#:min7/b7,F#:min7/b7,26,5,21,0,0
Ab:7/3,Ab:7/3,26,4,22,0,0
A:maj(9)/3,A:maj(9)/3,26,20,0,6,0
A:7/4,A:7/4,26,26,0,0,0
Eb:aug,Eb:aug,26,10,4,12,0
C:maj7/3,C:maj7/3,26,0,24,2,0
C#:min9(11),C#:min9(11),26,0,26,0,0
Eb:min7/5,Eb:min7/5,26,0,26,0,0
Db:sus4/4,Db:sus4/4,26,0,26,0,0
G:maj6/3,G:maj6/3,25,11,10,4,0
C:maj/b7,C:maj/b7,25,25,0,0,0
Eb:11,Eb:11,25,25,0,0,0
F:sus2,F:sus2,25,25,0,0,0
E:7/5,E:7/5,25,2,18,5,0
F:9/5,F:9/5,25,25,0,0,0
G:min(b6),G:min(b6),25,0,25,0,0
C:maj9/9,C:maj9/9,25,0,25,0,0
Eb:maj6/3,Eb:maj6/3,25,0,23,0,2
"Ab:sus4(b7,13,11,9)","Ab:sus4(b7,13,11,9)",25,0,25,0,0
G:maj6/5,G:maj6/5,25,0,10,14,1
A:minmaj7/7,A:minmaj7/7,25,0,25,0,0
"G:7(11,b9,13)","G:7(11,b9,13)",25,0,25,0,0
Eb:maj(4)/4,Eb:maj(4)/4,25,0,25,0,0
B:maj7/7,B:maj7/7,25,0,23,0,2
Db:1/1,Db:1/1,24,24,0,0,0
A:maj6(9),A:maj6(9),24,6,18,0,0
A:maj(9)/5,A:maj(9)/5,24,1,23,0,0
D:min/2,D:min/2,24,2,0,22,0
"Ab:7(11,b9,13)","Ab:7(11,b9,13)",24,0,24,0,0
"B:(3,b5,b7,b9,b13)","B:7(b9,b13,#11)",24,0,23,0,1
Db:7(b9),Db:7(b9),24,0,24,0,0
"B:7(b13,b9,11)","B:7(b13,b9,11)",24,0,24,0,0
Bb/2,Bb:maj/2,24,0,0,24,0
A:sus4/5,A:sus4/5,23,20,1,2,0
G:min7/4,G:min7/4,23,23,0,0,0
Cb:7,B:7,23,4,5,0,14
Db:maj(9)/5,Db:maj(9)/5,23,23,0,0,0
C:maj6/5,C:maj6/5,23,1,21,1,0
Db:7/3,Db:7/3,23,16,7,0,0
F#:min6,F#:min6,23,3,19,1,0
F:maj9/9,F:maj9/9,23,0,23,0,0
"A:sus4(b7,13,11,9)","A:sus4(b7,13,11,9)",23,0,23,0,0
D:maj9(#11),D:maj9(#11),23,0,23,0,0
Db:min6,Db:min6,23,0,20,0,3
F:maj6/6,F:maj6/6,23,0,23,0,0
C:min6/6,C:min6/6,23,0,23,0,0
F#:7(#9),F#:7(#9),23,0,22,1,0
Bb:9(11),Bb:9(11),23,0,22,1,0
"E:(3,5,b7,b9)",E:7(b9),23,0,0,0,23
"D:(4,5,b7)",D:sus4,23,0,0,0,23
"C#:sus4(b7,9)","C#:sus4(b7,9)",22,20,2,0,0
G:min7/5,G:min7/5,22,10,11,1,0
Ab:maj/4,Ab:maj/4,22,22,0,0,0
B:min/b3,B:min/b3,22,14,1,7,0
Gb:maj7/2,Gb:maj7/2,22,22,0,0,0
E:min7/5,E:min7/5,22,10,12,0,0
G:aug,G:aug,22,3,4,15,0
Db:7/b7,Db:7/b7,22,3,19,0,0
Ab:min11,Ab:min11,22,22,0,0,0
"Eb:maj9(13,#11)","Eb:maj9(13,#11)",22,22,0,0,0
"F:9(b13,11)","F:9(b13,11)",22,0,22,0,0
"D:aug(b7,b9)","D:aug(b7,b9)",22,0,22,0,0
"Db:9(11,13)","Db:9(11,13)",22,0,22,0,0
A:maj9/9,A:maj9/9,22,0,22,0,0
A#:min,A#:min,22,0,22,0,0
Gb:min6,Gb:min6,22,0,20,0,2
Eb:maj9/7,Eb:maj9/7,22,0,22,0,0
C:(1),C:maj,22,0,0,22,0
"C:(b3,5,6,9)","C:min(6,9)",22,0,0,0,22
"Bb:(3,#5,b7)",Bb:aug,22,0,0,0,22
F:aug/b3,F:aug/b3,22,0,0,0,22
G#:7(b9),G#:7(b9),21,8,13,0,0
F:min/b7,F:min/b7,21,13,0,6,2
"Db:sus4(b7,9)","Db:sus4(b7,9)",21,12,9,0,0
Eb:min(9),Eb:min(9),21,21,0,0,0
A#:dim7,A#:dim7,21,4,17,0,0
Ab:7/b7,Ab:7/b7,21,10,11,0,0
F:maj6/3,F:maj6/3,21,2,17,0,2
"G:(3,b5,b7)",G:7(#11),21,0,21,0,0
A:min(b6),A:min(b6),21,0,21,0,0
C:maj9(#11)/3,C:maj9(#11)/3,21,0,21,0,0
Ab:aug,Ab:aug,21,0,14,4,3
D:min6/6,D:min6/6,21,0,21,0,0
"Ab:(3,5,b7,9,#11)","Ab:7(9,#11)",21,0,0,0,21
G:maj/6,G:maj/6,20,20,0,0,0
A:(11),A:maj(11),20,20,0,0,0
C#:min7/b3,C#:min7/b3,20,19,1,0,0
D:min7/4,D:min7/4,20,10,0,10,0
Ab:min(b13),Ab:min(b13),20,20,0,0,0
E:maj(11),E:maj(11),20,20,0,0,0
E:hdim7/b7,E:hdim7/b7,20,20,0,0,0
C:maj(9)/3,C:maj(9)/3,20,10,10,0,0
C:maj6/3,C:maj6/3,20,2,18,0,0
G:sus4/5,G:sus4/5,20,11,8,1,0
Ab:maj6(9),Ab:maj6(9),20,4,16,0,0
B:minmaj7,B:minmaj7,20,0,20,0,0
Bb:min7(4)/4,Bb:min7(4)/4,20,0,20,0,0
"E:(3,b5,b7)",E:7(#11),20,0,20,0,0
"G:aug(b7,#9)","G:aug(b7,#9)",20,0,20,0,0
"Gb:(2,5)/9",Gb:sus2/9,20,0,20,0,0
Db:(5)/5,Db:5/5,20,0,20,0,0
G:minmaj7/b3,G:minmaj7/b3,20,0,0,20,0
Eb/5,Eb:maj/5,20,0,0,20,0
"B:(3,5,7,9,#11)","B:maj7(9,#11)",20,0,0,0,20
"B:(3,5,b7,9,#11)","B:7(9,#11)",20,0,0,0,20
"Eb:(3,5,b7,b9)",Eb:7(b9),20,0,0,0,20
"C:(4,5,b7)",C:sus4,20,0,0,0,20
F#:maj/5,F#:maj/5,19,13,6,0,0
Ab:maj/7,Ab:maj/7,19,19,0,0,0
Eb:min7/b7,Eb:min7/b7,19,3,16,0,0
F:maj6/5,F:maj6/5,19,2,14,1,2
"G#:sus4(b7,9)","G#:sus4(b7,9)",19,19,0,0,0
B:maj7(b1)/b1,B:maj7(b1)/b1,19,0,19,0,0
"G:sus4(b7,13,11,9)","G:sus4(b7,13,11,9)",19,0,19,0,0
G:min7/b3,G:min7/b3,19,0,19,0,0
G#:min7/b7,G#:min7/b7,19,0,19,0,0
G:maj6/6,G:maj6/6,19,0,19,0,0
F:9(11),F:9(11),19,0,19,0,0
"D:(3,5,b7,#9)",D:7(#9),19,0,0,0,19
G#:7(#9),G#:7(#9),18,16,2,0,0
A:min11,A:min11,18,18,0,0,0
"C:sus4(b7,9,13)","C:sus4(b7,9,13)",18,18,0,0,0
G:maj(11),G:maj(11),18,18,0,0,0
Db:11,Db:11,18,18,0,0,0
F#:7/3,F#:7/3,18,8,8,2,0
Eb:maj13,Eb:maj13,18,18,0,0,0
"Bb:(3,b5,b7,b9,b13)","Bb:7(b9,b13,#11)",18,0,11,0,7
"Bb:7(11,b9,13)","Bb:7(11,b9,13)",18,0,18,0,0
"G:sus4(b7,b9)","G:sus4(b7,b9)",18,0,18,0,0
E:maj7/7,E:maj7/7,18,0,17,0,1
C#:sus4,C#:sus4,18,0,14,4,0
Gb:sus4(b7),Gb:sus4(b7),18,0,18,0,0
Ab:9(11),Ab:9(11),18,0,18,0,0
B/7,B:maj/7,18,0,0,18,0
C:min(*b3),C:min(b3),18,0,0,18,0
"Db:(3,5,b7,9,#11)","Db:7(9,#11)",18,0,0,0,18
"G:(4,5,b7)",G:sus4,18,0,0,0,18
G:aug/b9,G:aug/b9,18,0,0,0,18
Bb:aug,Bb:aug,17,10,6,1,0
Cb:maj7(#11),B:maj7(#11),17,17,0,0,0
Db:maj7/7,Db:maj7/7,17,8,9,0,0
F:min6/b3,F:min6/b3,17,2,13,2,0
A:maj9(#11),A:maj9(#11),17,2,15,0,0
D:min/6,D:min/6,17,15,0,2,0
Ab:maj7/2,Ab:maj7/2,17,17,0,0,0
B:maj6/3,B:maj6/3,17,9,8,0,0
"Ab:(3,b5,b7,b9,b13)","Ab:7(b9,b13,#11)",17,0,8,0,9
"F#:9(11,13)","F#:9(11,13)",17,0,17,0,0
"C:7(#11,b9)","C:7(#11,b9)",17,0,17,0,0
"D:(3,b5,b7,b9,b13)","D:7(b9,b13,#11)",17,0,9,0,8
F:min6/6,F:min6/6,17,0,17,0,0
"D:9(13,#11)","D:9(13,#11)",17,0,17,0,0
"Eb:(2,5)",Eb:sus2,17,0,17,0,0
E:7(6)/6,E:7(6)/6,17,0,17,0,0
Eb:min(4)/4,Eb:min(4)/4,17,0,17,0,0
B:(1),B:maj,17,0,0,17,0
"Db:(4,5,b7)",Db:sus4,17,0,0,0,17
Db:maj/7,Db:maj/7,16,12,0,0,4
Eb:maj/b7,Eb:maj/b7,16,16,0,0,0
Gb:maj(9),Gb:maj(9),16,11,5,0,0
Ab:7/4,Ab:7/4,16,16,0,0,0
F:5/6,F:5/6,16,16,0,0,0
C:11,C:11,16,16,0,0,0
Cb:maj/5,B:maj/5,16,6,10,0,0
C:maj/#4,C:maj/#4,16,16,0,0,0
C#:5(b13),C#:5(b13),16,16,0,0,0
E:11,E:11,16,16,0,0,0
Ab:(b7),Ab:maj,16,16,0,0,0
C:maj/7,C:maj/7,16,16,0,0,0
E:min(9),E:min(9),16,14,0,2,0
E:min11,E:min11,16,16,0,0,0
B:maj/bb6,B:maj/bb6,16,16,0,0,0
F#:7/5,F#:7/5,16,7,9,0,0
Ab:maj(9)/3,Ab:maj(9)/3,16,1,15,0,0
C#:min/5,C#:min/5,16,1,6,9,0
F#:11,F#:11,16,16,0,0,0
A:maj7/5,A:maj7/5,16,2,12,2,0
D:7(b9)/3,D:7(b9)/3,16,0,16,0,0
F:maj(b6)/b6,F:maj(b6)/b6,16,0,16,0,0
F:minmaj7/7,F:minmaj7/7,16,0,16,0,0
"G:7(b13,b9,11)","G:7(b13,b9,11)",16,0,16,0,0
Ab:maj7/5,Ab:maj7/5,16,0,16,0,0
G#:min6,G#:min6,16,0,16,0,0
"C#:9(11,13)","C#:9(11,13)",16,0,16,0,0
A:min9/b7,A:min9/b7,16,0,16,0,0
B:min6,B:min6,16,0,16,0,0
B:maj6/6,B:maj6/6,16,0,16,0,0
F:9/9,F:9/9,16,0,16,0,0
F:7(4)/4,F:7(4)/4,16,0,16,0,0
D:maj9/5,D:maj9/5,16,0,16,0,0
D/2,D:maj/2,16,0,0,16,0
"F:(3,5,6,9)","F:maj(6,9)",16,0,0,0,16
G#:sus4(b7),G#:sus4(b7),15,4,11,0,0
Ab:min/b3,Ab:min/b3,15,2,13,0,0
B:min7/4,B:min7/4,15,13,0,2,0
F:min(9),F:min(9),15,15,0,0,0
F:sus4(9),F:sus4(9),15,15,0,0,0
B:maj6(b7),B:maj6(b7),15,15,0,0,0
Gb:9,Gb:9,15,0,14,0,1
A:min(4)/4,A:min(4)/4,15,0,15,0,0
"A:7(11,b9,13)","A:7(11,b9,13)",15,0,15,0,0
F#:9(#11),F#:9(#11),15,0,15,0,0
Bb:maj9/9,Bb:maj9/9,15,0,15,0,0
"Bb:(3,b5,b7,b9)","Bb:7(b9,#11)",15,0,15,0,0
"C:(3,b5,b7)/b5",C:7(#11)/b5,15,0,15,0,0
Eb:min7(4)/4,Eb:min7(4)/4,15,0,15,0,0
G#:min9(11),G#:min9(11),15,0,15,0,0
C#:maj7,C#:maj7,15,0,11,0,4
"D:7(11,b9,13)","D:7(11,b9,13)",15,0,15,0,0
"Bb:9(13,#11)","Bb:9(13,#11)",15,0,15,0,0
G:maj7/7,G:maj7/7,15,0,15,0,0
D/7,D:maj/7,15,0,0,15,0
"B:(3,#5,b7)",B:aug,15,0,0,0,15
"C:(3,5,b7,9,11,13)","C:7(9,11,13)",15,0,0,0,15
"F:(b3,5,b7,9,11)","F:min7(9,11)",15,0,0,0,15
"G:(3,5,b7,#9)",G:7(#9),15,0,0,0,15
"G:(b3,5,b7,9,11)","G:min7(9,11)",15,0,0,0,15
Bb:7(#11),Bb:7(#11),14,14,0,0,0
C#:min(9),C#:min(9),14,14,0,0,0
Eb:min7(11),Eb:min7(11),14,14,0,0,0
F:maj6/2,F:maj6/2,14,14,0,0,0
B:aug,B:aug,14,5,3,6,0
B:13,B:13,14,14,0,0,0
Eb:min7(b13),Eb:min7(b13),14,14,0,0,0
C#:min(b13),C#:min(b13),14,14,0,0,0
Bb:sus4(b7)/b7,Bb:sus4(b7)/b7,14,14,0,0,0
B:maj/b6,B:maj/b6,14,8,0,0,6
F:min7/2,F:min7/2,14,14,0,0,0
G:min7(11),G:min7(11),14,14,0,0,0
Gb:7/5,Gb:7/5,14,14,0,0,0
"C:aug(b7,#9)","C:aug(b7,#9)",14,0,14,0,0
E:hdim7/b5,E:hdim7/b5,14,0,14,0,0
Ab:maj9/9,Ab:maj9/9,14,0,14,0,0
"D:(3,b5,b7)",D:7(#11),14,0,14,0,0
A#:hdim7,A#:hdim7,14,0,14,0,0
"C:aug(b7,b9)","C:aug(b7,b9)",14,0,14,0,0
"D:aug(b7,#9)","D:aug(b7,#9)",14,0,14,0,0
"Ab:9(13,#11)","Ab:9(13,#11)",14,0,14,0,0
"Gb:9(13,#11)","Gb:9(13,#11)",14,0,14,0,0
Bb:min/b3,Bb:min/b3,14,0,7,6,1
D:sus4/5,D:sus4/5,14,0,2,12,0
A/b7,A:maj/b7,14,0,0,14,0
"B:(3,5,b7,b9)",B:7(b9),14,0,0,0,14
"Eb:(3,5,b7,9,#11)","Eb:7(9,#11)",14,0,0,0,14
"A:(3,#5,b7)",A:aug,14,0,0,0,14
"Ab:(4,5,b7)",Ab:sus4,14,0,0,0,14
"C:(b3,5,b7,9,11)","C:min7(9,11)",14,0,0,0,14
"F:(3,5,b7,#9)",F:7(#9),14,0,0,0,14
A:min7/b3,A:min7/b3,13,4,9,0,0
B:min7/5,B:min7/5,13,5,8,0,0
C:sus4(9),C:sus4(9),13,13,0,0,0
C:maj/6,C:maj/6,13,13,0,0,0
G:maj13,G:maj13,13,13,0,0,0
Gb:sus2,Gb:sus2,13,13,0,0,0
"E:(b3,b7,11,9)","E:min7(11,9)",13,13,0,0,0
A:sus2(b7),A:sus2(b7),13,13,0,0,0
E:sus2(b7),E:sus2(b7),13,12,0,1,0
G:7/6,G:7/6,13,13,0,0,0
D#:sus4(b7),D#:sus4(b7),13,13,0,0,0
"A:aug(b7,#9)","A:aug(b7,#9)",13,0,13,0,0
"Bb:(3,b5,b7)",Bb:7(#11),13,0,13,0,0
"B:sus4(b7,13,11,9)","B:sus4(b7,13,11,9)",13,0,13,0,0
A:sus4(b7)/b7,A:sus4(b7)/b7,13,0,13,0,0
A#:7/b7,A#:7/b7,13,0,13,0,0
A:7(b3)/b3,A:7(b3)/b3,13,0,13,0,0
C:min6(9),C:min6(9),13,0,13,0,0
G:(1),G:maj,13,0,0,13,0
B/3,B:maj/3,13,0,0,13,0
Db/5,Db:maj/5,13,0,0,13,0
"D:(3,5,b7,9,#11)","D:7(9,#11)",13,0,0,0,13
"Gb:(3,5,b7,9,#11)","Gb:7(9,#11)",13,0,0,0,13
"Bb:(3,5,b7,9,11,13)","Bb:7(9,11,13)",13,0,0,0,13
G:sus4(b7)/4,G:sus4(b7)/4,12,12,0,0,0
Gb:5,Gb:5,12,12,0,0,0
F:maj/6,F:maj/6,12,12,0,0,0
E:maj/7,E:maj/7,12,12,0,0,0
C:sus2,C:sus2,12,12,0,0,0
A:min/b6,A:min/b6,12,12,0,0,0
"C#:(b3,b7,11,9)","C#:min7(11,9)",12,12,0,0,0
D:maj(#9),D:maj(#9),12,12,0,0,0
D#:dim/b5,D#:dim/b5,12,10,0,2,0
C:(11),C:maj(11),12,12,0,0,0
C:min11,C:min11,12,12,0,0,0
"Ab:7(b9,b13)","Ab:7(b9,b13)",12,12,0,0,0
D:min9/5,D:min9/5,12,10,2,0,0
E:minmaj7/5,E:minmaj7/5,12,12,0,0,0
Eb:maj/6,Eb:maj/6,12,8,0,0,4
A:7(#11),A:7(#11),12,12,0,0,0
Db:7(#11),Db:7(#11),12,12,0,0,0
D:maj(9)/3,D:maj(9)/3,12,2,10,0,0
B:min(11),B:min(11),12,12,0,0,0
B:min/6,B:min/6,12,6,0,6,0
F#:minmaj7,F#:minmaj7,12,4,4,4,0
A:maj7(#11),A:maj7(#11),12,12,0,0,0
C:min7/b3,C:min7/b3,12,5,7,0,0
C:maj(#11),C:maj(#11),12,9,0,3,0
E:7(b9)/3,E:7(b9)/3,12,0,12,0,0
D:aug(7),D:aug(7),12,0,12,0,0
"E:7(11,b9,13)","E:7(11,b9,13)",12,0,12,0,0
"B:(3,b5,b7)",B:7(#11),12,0,12,0,0
Eb:aug(b7),Eb:aug(b7),12,0,12,0,0
C:9/5,C:9/5,12,0,12,0,0
"G:aug(b7,b9)","G:aug(b7,b9)",12,0,12,0,0
E:7(b9)/5,E:7(b9)/5,12,0,12,0,0
Gb:min9,Gb:min9,12,0,12,0,0
"F:7(11,b9,13)","F:7(11,b9,13)",12,0,12,0,0
Eb:dim7(7)/7,Eb:dim7(7)/7,12,0,12,0,0
D:sus4/4,D:sus4/4,12,0,12,0,0
"A:(2,5)/6",A:sus2/6,12,0,12,0,0
"A:(2,5)/5",A:sus2/5,12,0,12,0,0
"E:(2,5)/5",E:sus2/5,12,0,12,0,0
B:7(4)/4,B:7(4)/4,12,0,12,0,0
A:min6(b7)/6,A:min6(b7)/6,12,0,12,0,0
"F:9(13,#11)","F:9(13,#11)",12,0,12,0,0
A:maj/9,A:maj/9,12,0,0,10,2
G:min/b7,G:min/b7,12,0,0,6,6
B/6,B:maj/6,12,0,0,12,0
Bb:min7/4,Bb:min7/4,12,0,0,1,11
"Bb:(3,5,b7,b9,11,b13)","Bb:7(b9,11,b13)",12,0,0,0,12
"E:(3,5,7,9,#11)","E:maj7(9,#11)",12,0,0,0,12
"F:(b3,5,6,9)","F:min(6,9)",12,0,0,0,12
Ab:min6/5,Ab:min6/5,12,0,0,0,12
Ab:sus2,Ab:sus2,11,11,0,0,0
Eb:7(b13),Eb:7(b13),11,11,0,0,0
Bb:maj(9)/3,Bb:maj(9)/3,11,9,2,0,0
Db:5,Db:5,11,11,0,0,0
Ab:min7/4,Ab:min7/4,11,11,0,0,0
F:11,F:11,11,11,0,0,0
G:9/3,G:9/3,11,11,0,0,0
B:min7/b3,B:min7/b3,11,10,1,0,0
Eb:min6/5,Eb:min6/5,11,1,10,0,0
Ab:min/5,Ab:min/5,11,9,2,0,0
A:maj9/3,A:maj9/3,11,3,8,0,0
B:dim/b3,B:dim/b3,11,11,0,0,0
A:5(b7)/3,A:5(b7)/3,11,11,0,0,0
B:sus4/b7,B:sus4/b7,11,11,0,0,0
F#:7/b7,F#:7/b7,11,1,10,0,0
Bb:min/5,Bb:min/5,11,8,2,1,0
"F#:(3,b5,b7,b9,b13)","F#:7(b9,b13,#11)",11,0,11,0,0
F:maj(4)/4,F:maj(4)/4,11,0,11,0,0
C#:7/b7,C#:7/b7,11,0,11,0,0
Ab:min7(4)/4,Ab:min7(4)/4,11,0,11,0,0
D:maj6/5,D:maj6/5,11,0,5,6,0
Gb:maj6/6,Gb:maj6/6,11,0,11,0,0
Bb/5,Bb:maj/5,11,0,0,11,0
F:min/4,F:min/4,10,10,0,0,0
D:min(9),D:min(9),10,10,0,0,0
E:sus2,E:sus2,10,10,0,0,0
G:min/4,G:min/4,10,6,0,4,0
A:maj/7,A:maj/7,10,10,0,0,0
Bb:sus4(9)/7,Bb:sus4(9)/7,10,10,0,0,0
Db:hdim7,Db:hdim7,10,8,1,0,1
F#:maj(11),F#:maj(11),10,10,0,0,0
D:maj6(9)/5,D:maj6(9)/5,10,10,0,0,0
G:5/5,G:5/5,10,10,0,0,0
C:(3)/2,C:maj/2,10,10,0,0,0
"A:(b5,b7,3)",A:7(#11),10,10,0,0,0
Gb:dim,Gb:dim,10,5,1,0,4
C:5/5,C:5/5,10,10,0,0,0
F#:maj/6,F#:maj/6,10,10,0,0,0
Eb:maj7(#11),Eb:maj7(#11),10,10,0,0,0
A:5(b7)/2,A:5(b7)/2,10,10,0,0,0
C:maj(11),C:maj(11),10,10,0,0,0
Eb:hdim7/b7,Eb:hdim7/b7,10,6,4,0,0
C:min(b6),C:min(b6),10,0,10,0,0
A:maj7(b5)/b5,A:maj7(#11)/b5,10,0,10,0,0
