Chord,Total_Count,billboard,ireal-pro,isophonics,weimar-jazz
B:min6,17,1,16,0,0
D:min/6,17,15,0,2,0
Ab:maj7/2,17,17,0,0,0
B:maj6/3,17,9,8,0,0
"Ab:7(b9,b13,#11)",17,0,8,0,9
"F#:9(11,13)",17,0,17,0,0
"C:7(#11,b9)",17,0,17,0,0
"D:7(b9,b13,#11)",17,0,9,0,8
F:min6/6,17,0,17,0,0
"D:9(13,#11)",17,0,17,0,0
E:7(6)/6,17,0,17,0,0
Eb:min(4)/4,17,0,17,0,0
Eb:maj/b7,16,16,0,0,0
Gb:maj(9),16,11,5,0,0
Ab:7/4,16,16,0,0,0
F:5/6,16,16,0,0,0
C:11,16,16,0,0,0
D:7(#11),16,2,14,0,0
C:maj/#4,16,16,0,0,0
C#:5(b13),16,16,0,0,0
E:11,16,16,0,0,0
E:min(9),16,14,0,2,0
E:min11,16,16,0,0,0
B:maj/bb6,16,16,0,0,0
F#:7/5,16,7,9,0,0
Ab:maj(9)/3,16,1,15,0,0
C#:min/5,16,1,6,9,0
F#:11,16,16,0,0,0
A:maj7/5,16,2,12,2,0
D:7(b9)/3,16,0,16,0,0
F:maj(b6)/b6,16,0,16,0,0
F:minmaj7/7,16,0,16,0,0
"G:7(b13,b9,11)",16,0,16,0,0
Ab:maj7/5,16,0,16,0,0
G#:min6,16,0,16,0,0
"C#:9(11,13)",16,0,16,0,0
A:min9/b7,16,0,16,0,0
B:maj6/6,16,0,16,0,0
F:9/9,16,0,16,0,0
F:7(4)/4,16,0,16,0,0
D:maj9/5,16,0,16,0,0
"F:maj(6,9)",16,0,0,0,16
G#:sus4(b7),15,4,11,0,0
Ab:min/b3,15,2,13,0,0
B:min7/4,15,13,0,2,0
F:min(9),15,15,0,0,0
B:maj6(b7),15,15,0,0,0
Gb:9,15,0,14,0,1
A:min(4)/4,15,0,15,0,0
"A:7(11,b9,13)",15,0,15,0,0
F#:9(#11),15,0,15,0,0
Bb:maj9/9,15,0,15,0,0
"Bb:7(b9,#11)",15,0,15,0,0
C:7(#11)/b5,15,0,15,0,0
Eb:min7(4)/4,15,0,15,0,0
G#:min9(11),15,0,15,0,0
C#:maj7,15,0,11,0,4
"D:7(11,b9,13)",15,0,15,0,0
"Bb:9(13,#11)",15,0,15,0,0
G:maj7/7,15,0,15,0,0
"C:7(9,11,13)",15,0,0,0,15
"F:min7(9,11)",15,0,0,0,15
"G:min7(9,11)",15,0,0,0,15
C#:min(9),14,14,0,0,0
Eb:min7(11),14,14,0,0,0
F:maj6/2,14,14,0,0,0
B:13,14,14,0,0,0
Eb:min7(b13),14,14,0,0,0
C#:min(b13),14,14,0,0,0
Gb:sus2,14,13,1,0,0
Bb:sus4(b7)/b7,14,14,0,0,0
Db:7(#11),14,12,2,0,0
B:maj/b6,14,8,0,0,6
F:min7/2,14,14,0,0,0
G:min7(11),14,14,0,0,0
Gb:7/5,14,14,0,0,0
"C:aug(b7,#9)",14,0,14,0,0
E:hdim7/b5,14,0,14,0,0
Ab:maj9/9,14,0,14,0,0
A#:hdim7,14,0,14,0,0
"C:aug(b7,b9)",14,0,14,0,0
B:maj6(9),14,0,14,0,0
"D:aug(b7,#9)",14,0,14,0,0
"Ab:9(13,#11)",14,0,14,0,0
"Gb:9(13,#11)",14,0,14,0,0
Bb:min/b3,14,0,7,6,1
D:sus4/5,14,0,2,12,0
A:maj/9,14,0,0,12,2
"Eb:7(9,#11)",14,0,0,0,14
"C:min7(9,11)",14,0,0,0,14
A:min7/b3,13,4,9,0,0
B:min7/5,13,5,8,0,0
B:maj/6,13,1,0,12,0
G:maj13,13,13,0,0,0
"E:min7(11,9)",13,13,0,0,0
A:sus2(b7),13,13,0,0,0
Eb:maj/6,13,8,0,1,4
E:sus2(b7),13,12,0,1,0
G:7/6,13,13,0,0,0
D#:sus4(b7),13,13,0,0,0
"A:aug(b7,#9)",13,0,13,0,0
"B:sus4(b7,13,11,9)",13,0,13,0,0
A:sus4(b7)/b7,13,0,13,0,0
A#:7/b7,13,0,13,0,0
A:7(b3)/b3,13,0,13,0,0
C:min6(9),13,0,13,0,0
"D:7(9,#11)",13,0,0,0,13
"Gb:7(9,#11)",13,0,0,0,13
"Bb:7(9,11,13)",13,0,0,0,13
G:sus4(b7)/4,12,12,0,0,0
Gb:5,12,12,0,0,0
A:min/b6,12,12,0,0,0
"C#:min7(11,9)",12,12,0,0,0
A:maj/7,12,10,0,2,0
D:maj(#9),12,12,0,0,0
D#:dim/b5,12,10,0,2,0
C:min11,12,12,0,0,0
"Ab:7(b9,b13)",12,12,0,0,0
D:min9/5,12,10,2,0,0
E:minmaj7/5,12,12,0,0,0
D:maj(9)/3,12,2,10,0,0
B:min(11),12,12,0,0,0
B:min/6,12,6,0,6,0
F#:minmaj7,12,4,4,4,0
A:maj7(#11),12,12,0,0,0
C:min7/b3,12,5,7,0,0
C:maj(#11),12,9,0,3,0
E:7(b9)/3,12,0,12,0,0
D:aug(7),12,0,12,0,0
"E:7(11,b9,13)",12,0,12,0,0
Eb:aug(b7),12,0,12,0,0
C:9/5,12,0,12,0,0
"G:aug(b7,b9)",12,0,12,0,0
E:7(b9)/5,12,0,12,0,0
Gb:min9,12,0,12,0,0
"F:7(11,b9,13)",12,0,12,0,0
Eb:dim7(7)/7,12,0,12,0,0
D:sus4/4,12,0,12,0,0
A:sus2/6,12,0,12,0,0
A:sus2/5,12,0,12,0,0
E:sus2/5,12,0,12,0,0
B:7(4)/4,12,0,12,0,0
A:min6(b7)/6,12,0,12,0,0
"F:9(13,#11)",12,0,12,0,0
G:min/b7,12,0,0,6,6
Bb:min7/4,12,0,0,1,11
"Bb:7(b9,11,b13)",12,0,0,0,12
"E:maj7(9,#11)",12,0,0,0,12
"F:min(6,9)",12,0,0,0,12
Ab:min6/5,12,0,0,0,12
Eb:7(b13),11,11,0,0,0
Eb:maj/2,11,5,0,6,0
Bb:maj(9)/3,11,9,2,0,0
Ab:min7/4,11,11,0,0,0
F:11,11,11,0,0,0
G:9/3,11,11,0,0,0
B:min7/b3,11,10,1,0,0
Eb:min6/5,11,1,10,0,0
D:5/5,11,1,10,0,0
C:7(#11),11,2,9,0,0
Ab:min/5,11,9,2,0,0
A:maj9/3,11,3,8,0,0
B:dim/b3,11,11,0,0,0
A:5(b7)/3,11,11,0,0,0
B:sus4/b7,11,11,0,0,0
F#:7/b7,11,1,10,0,0
Bb:min/5,11,8,2,1,0
"F#:7(b9,b13,#11)",11,0,11,0,0
F:maj(4)/4,11,0,11,0,0
C#:7/b7,11,0,11,0,0
Ab:min7(4)/4,11,0,11,0,0
D#:sus4,11,0,7,4,0
D:maj6/5,11,0,5,6,0
Gb:maj6/6,11,0,11,0,0
G:7(b9)/3,11,0,1,0,10
F:min/4,10,10,0,0,0
D:min(9),10,10,0,0,0
G:min/4,10,6,0,4,0
Bb:sus4(9)/7,10,10,0,0,0
Db:hdim7,10,8,1,0,1
F#:maj(11),10,10,0,0,0
D:maj6(9)/5,10,10,0,0,0
G:5/5,10,10,0,0,0
Gb:dim,10,5,1,0,4
C:5/5,10,10,0,0,0
F#:maj/6,10,10,0,0,0
Eb:maj7(#11),10,10,0,0,0
A:5(b7)/2,10,10,0,0,0
Eb:hdim7/b7,10,6,4,0,0
C:min(b6),10,0,10,0,0
A:maj7(#11)/b5,10,0,10,0,0
Ab:7(#11),10,0,10,0,0
E:min6/6,10,0,6,4,0
C#:min/b3,10,0,9,1,0
"B:9(13,#11)",10,0,10,0,0
E:minmaj7,10,0,10,0,0
C#:min6,10,0,10,0,0
Gb:min9(11),10,0,10,0,0
D:min(4)/4,10,0,10,0,0
C#:maj7/5,10,0,10,0,0
"Ab:maj9(11,13)",10,0,10,0,0
A:min6/6,10,0,10,0,0
B:9(11),10,0,10,0,0
D#:minmaj7,10,0,10,0,0
A:min(9)/9,10,0,10,0,0
Ab:maj(4)/4,10,0,10,0,0
"F:maj9(11,13)",10,0,10,0,0
E:7(b6)/b6,10,0,10,0,0
G#:5,10,0,9,1,0
G#:min(4)/4,10,0,10,0,0
C#:min(b6),10,0,10,0,0
Bb:maj9(#11)/7,10,0,10,0,0
F:maj(9)/3,10,0,10,0,0
Db:maj6/2,10,0,0,10,0
Ab:maj7/3,9,8,0,1,0
C:min6/b3,9,5,3,0,1
D:maj(11),9,8,0,1,0
G:maj7/2,9,9,0,0,0
F#:maj(9),9,2,6,1,0
F#:7(#11),9,2,7,0,0
Bb:min7/5,9,0,9,0,0
Db:minmaj7,9,0,9,0,0
B:maj(4)/4,9,0,9,0,0
D:hdim7/b5,9,0,9,0,0
C#:aug(b7),9,0,9,0,0
"C:7(b9,#11)",9,0,9,0,0
D#:7(b9),9,0,9,0,0
G:maj(b9)/b9,9,0,9,0,0
Db:maj7/5,9,0,9,0,0
"D:7(#9,#11)",9,0,3,0,6
"E:aug(b7,b9)",9,0,9,0,0
B:maj7/5,9,0,9,0,0
G#:aug(b7),9,0,9,0,0
"F#:aug(b7,#9)",9,0,9,0,0
Gb:maj7/5,9,0,9,0,0
"G#:9(b13,11)",9,0,9,0,0
"G:aug(b7,9)",9,0,9,0,0
G#:aug,9,0,2,7,0
F:min9(4)/4,9,0,9,0,0
B:maj9/9,9,0,9,0,0
E:min(4)/4,9,0,9,0,0
Eb:min6(4)/4,9,0,9,0,0
G:maj7(b6)/b6,9,0,9,0,0
F:maj/9,9,0,0,9,0
G:maj6/2,9,0,0,9,0
D:maj/b9,9,0,0,0,9
"A:7(9,11,b13)",9,0,0,0,9
"E:min7(9,11)",9,0,0,0,9
"Eb:sus4(9,11,13)",9,0,0,0,9
"A:sus4(b7,9,13)",8,8,0,0,0
Db:maj/b7,8,8,0,0,0
F#:maj(9)/3,8,1,7,0,0
C:13,8,8,0,0,0
Eb:maj/7,8,8,0,0,0
G#:maj/b2,8,8,0,0,0
A:maj6/5,8,8,0,0,0
F:maj/7,8,5,0,3,0
A#:dim,8,7,1,0,0
G#:sus4,8,4,4,0,0
E:min(b13),8,8,0,0,0
D:maj6/2,8,8,0,0,0
C:min(9),8,6,0,2,0
A:5/4,8,8,0,0,0
Ab:maj6/5,8,4,4,0,0
F:sus4/5,8,8,0,0,0
G#:min(11),8,8,0,0,0
C#:5(b7),8,8,0,0,0
D:sus4(b7)/5,8,8,0,0,0
Db:maj(11),8,8,0,0,0
A:5(b7)/b7,8,8,0,0,0
Bb:min11,8,8,0,0,0
Ab:sus4/5,8,8,0,0,0
C#:maj/b4,8,8,0,0,0
E:sus4/2,8,8,0,0,0
G:5/4,8,8,0,0,0
"Bb:sus4(b7,b13,11)",8,0,8,0,0
"F:aug(b7,#9)",8,0,8,0,0
"Bb:sus4(b7,b9)",8,0,8,0,0
Ab:dim7(5)/5,8,0,8,0,0
Bb:maj6/3,8,0,8,0,0
"C#:7(b9,b13,#11)",8,0,8,0,0
"B:7(11,b9,13)",8,0,8,0,0
Bb:min9(11),8,0,8,0,0
A:7(b9)/b9,8,0,8,0,0
Bb:min(b6),8,0,8,0,0
D:min6(9),8,0,8,0,0
F:sus4(6)/6,8,0,8,0,0
C#:min9/5,8,0,8,0,0
"F#:9(13,#11)",8,0,8,0,0
"F#:aug(b7,b9)",8,0,8,0,0
E:min9/b7,8,0,8,0,0
"F:sus4(b7,13,11,9)",8,0,8,0,0
G:aug(6)/6,8,0,8,0,0
B:min6/5,8,0,8,0,0
"E:aug(b7,#9)",8,0,8,0,0
Bb:maj6/6,8,0,8,0,0
E:maj(#11)/b5,8,0,8,0,0
"E:maj9(11,13)",8,0,8,0,0
G:maj(2)/3,8,0,8,0,0
C:maj(2)/3,8,0,8,0,0
Db:maj6/6,8,0,8,0,0
"B:7(#11,b9)",8,0,8,0,0
Bb:min6/b3,8,0,8,0,0
"B:maj9(11,13)",8,0,8,0,0
"Eb:sus4(b7,13,11,9)",8,0,8,0,0
F:min6(9),8,0,8,0,0
Eb:9(#9)/9,8,0,8,0,0
D#:maj9(b5)/b5,8,0,8,0,0
G:minmaj7/7,8,0,8,0,0
D:dim7(b1)/b1,8,0,8,0,0
D:min7(4)/b7,8,0,0,8,0
B:hdim7/b7,8,0,0,8,0
G:min(9),8,0,0,8,0
Db:min7/4,8,0,0,0,8
"F:7(9,11,13)",8,0,0,0,8
"Gb:7(9,11,13)",8,0,0,0,8
"C:min(9,11,13)",8,0,0,0,8
"C:min(9,#11)",8,0,0,0,8
B:aug(9),8,0,0,0,8
"Bb:min7(9,11,13)",8,0,0,0,8
"G:min(6,9)",8,0,0,0,8
F:maj(9)/5,7,5,0,2,0
E:maj7/5,7,2,5,0,0
A:sus4(9),7,7,0,0,0
D:maj6/3,7,7,0,0,0
B:dim/b7,7,7,0,0,0
"D:7(b9,#11)",7,2,5,0,0
C#:7(b9)/3,7,7,0,0,0
D:sus2(b7),7,7,0,0,0
F:maj/b7,7,6,0,1,0
C:sus4/4,7,6,0,1,0
Db:aug,7,3,0,0,4
B:maj/2,7,7,0,0,0
G:hdim7/b5,7,1,6,0,0
G:maj6/b5,7,7,0,0,0
A:5/6,7,7,0,0,0
B:5/5,7,7,0,0,0
Gb:maj13,7,7,0,0,0
G#:1/1,7,7,0,0,0
"Db:7(b9,b13,#11)",7,0,4,0,3
Bb:aug(7),7,0,7,0,0
C:aug(7),7,0,7,0,0
D:min(b6),7,0,7,0,0
"Eb:aug(b7,#9)",7,0,7,0,0
"A:7(b9,#11)",7,0,7,0,0
"G:7(9,#11)",7,0,2,0,5
C:min7/5,7,0,7,0,0
Gb:hdim7,7,0,5,0,2
A:maj(b6)/b6,7,0,7,0,0
"C:7(11,b9,13)",7,0,7,0,0
E:minmaj7/7,7,0,7,0,0
"E:9(13,#11)",7,0,7,0,0
"Ab:aug(b7,b9)",7,0,7,0,0
C:maj9(#11)/7,7,0,7,0,0
"G:9(13,#11)",7,0,7,0,0
C:maj7(#5)/5,7,0,7,0,0
D:maj6/6,7,0,7,0,0
G#:7/5,7,0,4,0,3
E:dim/b3,7,0,6,1,0
C:min(9)/9,7,0,7,0,0
F#:sus2,7,0,7,0,0
D#:aug,7,0,2,5,0
Bb:min6(4)/4,7,0,7,0,0
C:9(3),7,0,0,7,0
D:maj(2),7,0,0,7,0
E:maj(4),7,0,0,7,0
"C:7(9,#11)",7,0,0,0,7
"C:maj7(9,#11)",7,0,0,0,7
Eb:sus4(9),7,0,0,0,7
"Bb:min7(9,11)",7,0,0,0,7
C#:min/3,6,6,0,0,0
E:maj(9)/3,6,3,3,0,0
A:dim/b5,6,4,0,2,0
Ab:7(b13),6,6,0,0,0
D:maj7(#11),6,6,0,0,0
B:7(b13),6,6,0,0,0
D:min(b13),6,6,0,0,0
F#:sus4/b7,6,6,0,0,0
A:maj(#9),6,6,0,0,0
F#:min(b13),6,6,0,0,0
Db:5(b7),6,6,0,0,0
Eb:min(b13),6,6,0,0,0
C:min7(11),6,6,0,0,0
A:min7/4,6,6,0,0,0
Bb:min7(11),6,6,0,0,0
"C:aug(b7,9)",6,1,5,0,0
E:7/b3,6,6,0,0,0
G:maj/7,6,6,0,0,0
E:min/4,6,5,0,1,0
Db:maj13,6,6,0,0,0
A#:maj,6,2,4,0,0
C#:min9/b7,6,6,0,0,0
A:7(b9)/3,6,2,4,0,0
Ab:maj9(#11)/7,6,0,6,0,0
Eb:min9(11)/5,6,0,6,0,0
"F#:7(9,#11)",6,0,6,0,0
"F:7(9,#11)",6,0,6,0,0
F:7(#9)/5,6,0,6,0,0
"F#:7(11,b9,13)",6,0,6,0,0
Bb:maj(#4)/#4,6,0,6,0,0
F:minmaj7/5,6,0,6,0,0
"G#:aug(b7,#9)",6,0,6,0,0
Gb:7(#9),6,0,6,0,0
Bb:min6/5,6,0,6,0,0
"Ab:9(b13,11)",6,0,6,0,0
A:maj7/3,6,0,6,0,0
D:min6/b3,6,0,6,0,0
"C#:9(b13,11)",6,0,6,0,0
"B:aug(b7,b9)",6,0,6,0,0
"B:7(b9,b13,#11)/b4",6,0,6,0,0
"F#:sus4(b7,13,11,9)",6,0,6,0,0
Db:7(#6)/#6,6,0,6,0,0
G:min6(b7)/6,6,0,6,0,0
"E:7(b13,b9,11)",6,0,6,0,0
"F:sus4(b7,b9)",6,0,6,0,0
Eb:min6(9),6,0,6,0,0
B:7(b3)/3,6,0,6,0,0
G#:9,6,0,4,0,2
E:9/9,6,0,6,0,0
A:maj6/6,6,0,6,0,0
F#:9/9,6,0,6,0,0
B:min6/6,6,0,6,0,0
B:min(b6)/b6,6,0,6,0,0
Gb:aug,6,0,6,0,0
Gb:sus4,6,0,6,0,0
"A#:9(b13,11)",6,0,6,0,0
C#:min(9)/9,6,0,6,0,0
G#:7(b3)/b3,6,0,6,0,0
Eb:9(11),6,0,6,0,0
Bb:maj(4)/4,6,0,6,0,0
F#:min(b1)/b1,6,0,6,0,0
C#:min7/5,6,0,6,0,0
C#:min7(b5)/b5,6,0,6,0,0
Bb:min9/b3,6,0,6,0,0
Gb:maj(#6)/#6,6,0,6,0,0
F:7(b3)/3,6,0,6,0,0
A:5/b9,6,0,6,0,0
G:5/9,6,0,6,0,0
A:5/5,6,0,6,0,0
F:5/7,6,0,6,0,0
Gb:maj7/7,6,0,6,0,0
"Ab:aug(b7,#9)",6,0,6,0,0
G:maj9/9,6,0,6,0,0
"Bb:7(#9,#11)",6,0,6,0,0
C:maj/9,6,0,0,6,0
E:min/6,6,0,0,6,0
B:min/7,6,0,0,6,0
A:maj/b3,6,0,0,4,2
G:maj/9,6,0,0,6,0
B:min7(9),6,0,0,6,0
C:maj7(9),6,0,0,6,0
C:maj(#4)/5,6,0,0,6,0
"E:7(9,#11)",6,0,0,0,6
E:7/9,6,0,0,0,6
Eb:min/4,6,0,0,0,6
C:maj/b6,6,0,0,0,6
"Bb:maj6(7,#11)",5,5,0,0,0
A:dim/b3,5,4,0,1,0
Db:maj/4,5,5,0,0,0
Db:7/5,5,2,3,0,0
F#:min/7,5,5,0,0,0
F:maj13,5,5,0,0,0
Bb:5/2,5,5,0,0,0
E:aug(7),5,1,4,0,0
Bb:hdim7/b5,5,5,0,0,0
Ab:sus2(b7),5,5,0,0,0
G:min11,5,5,0,0,0
C#:min11/b3,5,5,0,0,0
C:7(11),5,5,0,0,0
D:7/b4,5,5,0,0,0
G:7/b3,5,3,0,2,0
"G:sus4(b7,9,13)",5,5,0,0,0
F:7(#11),5,3,2,0,0
E:9/3,5,5,0,0,0
Eb:min13,5,5,0,0,0
G:sus4/4,5,4,1,0,0
B:aug(b7)/3,5,5,0,0,0
B:aug/5,5,5,0,0,0
Db:maj7/3,5,0,5,0,0
"Eb:9(b13,11)",5,0,5,0,0
F:dim7(5)/5,5,0,5,0,0
"Bb:7(#11,b9)",5,0,5,0,0
"F:aug(b7,b9)",5,0,5,0,0
Bb:min6(9)/9,5,0,5,0,0
F:min6(9)/9,5,0,5,0,0
F#:min7(4)/4,5,0,5,0,0
E:maj(b6)/b6,5,0,5,0,0
G:maj(b6)/b6,5,0,5,0,0
"Db:9(b13,11)",5,0,5,0,0
G:7(b9)/5,5,0,5,0,0
"E:7(#11,#9)",5,0,5,0,0
B:maj(9)/3,5,0,5,0,0
A#:7,5,0,5,0,0
D:9(11),5,0,4,1,0
E:maj7/3,5,0,5,0,0
"Gb:sus4(b7,9)",5,0,5,0,0
G:min6/6,5,0,5,0,0
"C#:7(11,b9,13)",5,0,5,0,0
"Eb:7(11,b9,13)",5,0,5,0,0
G:min6(9),5,0,5,0,0
D:9/9,5,0,5,0,0
A:maj(b3)/3,5,0,5,0,0
"G:maj9(11,13)",5,0,5,0,0
A:maj(2)/3,5,0,5,0,0
B:min(4)/4,5,0,5,0,0
Db:maj(#6)/#6,5,0,5,0,0
G#:maj(b4)/b4,5,0,5,0,0
B:7(6)/6,5,0,5,0,0
E:maj6/3,5,0,5,0,0
A:5/7,5,0,5,0,0
A:5/9,5,0,5,0,0
G:maj9(#11)/7,5,0,5,0,0
D:hdim7(4)/4,5,0,5,0,0
C#:maj(9)/9,5,0,5,0,0
B:7(#11)/b5,5,0,5,0,0
"Db:9(13,#11)",5,0,5,0,0
Bb:maj9(#11)/3,5,0,5,0,0
G:dim7(b9)/b9,5,0,5,0,0
F#:maj(b9)/b9,5,0,5,0,0
"Bb:7(b13,b9,11)",5,0,5,0,0
"Eb:7(b9,b13,#11)",5,0,1,0,4
D:maj/#1,5,0,0,5,0
G:sus4(2),5,0,0,5,0
Ab:maj(2)/2,5,0,0,5,0
C#:maj7/3,5,0,0,5,0
D:min(6),5,0,0,5,0
F:min(6),5,0,0,5,0
D:sus4(2),5,0,0,5,0
E:min7(4),5,0,0,5,0
C#:dim/b3,5,0,0,5,0
Eb:maj/#1,5,0,0,0,5
"B:7(9,11,13)",5,0,0,0,5
"E:maj(6,9,#11)",5,0,0,0,5
Eb:min9/4,5,0,0,0,5
"Db:maj7(9,#11)/7",5,0,0,0,5
"Db:7(9,11,13)",5,0,0,0,5
G:9(b13),4,4,0,0,0
Ab:maj6/2,4,4,0,0,0
B:min(9),4,4,0,0,0
Gb:maj(9)/2,4,4,0,0,0
Eb:7(b9)/3,4,2,2,0,0
"A:7(b9,b13)",4,4,0,0,0
Ab:dim7/2,4,4,0,0,0
D:maj(b9),4,4,0,0,0
F:13,4,4,0,0,0
Bb:13,4,4,0,0,0
D#:dim/b2,4,4,0,0,0
"Eb:7(b13,#9)",4,4,0,0,0
A:9(13),4,4,0,0,0
D:sus2/2,4,4,0,0,0
Ab:min(11),4,4,0,0,0
Gb:maj(11),4,4,0,0,0
F:maj(11),4,4,0,0,0
Bb:5(b7)/5,4,4,0,0,0
Bb:sus4(b7)/4,4,4,0,0,0
Ab:min(9),4,4,0,0,0
F:aug(9),4,4,0,0,0
E:min/2,4,4,0,0,0
E:min9/b3,4,4,0,0,0
E:min9/4,4,4,0,0,0
Bb:maj7/2,4,3,0,1,0
G:7/4,4,4,0,0,0
Bb:maj/6,4,4,0,0,0
B:11,4,4,0,0,0
F:maj6(9)/3,4,4,0,0,0
"D:maj6(b7,11)",4,4,0,0,0
E:7(b13)/3,4,4,0,0,0
E:maj/b5,4,4,0,0,0
C:sus2/5,4,4,0,0,0
B:maj7(b7)/3,4,4,0,0,0
Bb:min(9)/9,4,0,4,0,0
"Bb:aug(b7,b9)",4,0,4,0,0
"A:aug(b7,9)",4,0,4,0,0
E:maj(b9)/b9,4,0,4,0,0
Db:aug(b7),4,0,4,0,0
B:maj(b6)/b6,4,0,4,0,0
"F:7(#11,#9)",4,0,4,0,0
D#:min9(11),4,0,4,0,0
Ab:min6/b3,4,0,4,0,0
D:maj(b9)/b9,4,0,4,0,0
"G#:7(b9,b13,#11)",4,0,4,0,0
Ab:maj6/3,4,0,4,0,0
"B:7(b9,#11)",4,0,4,0,0
"D:sus4(b7,b9)",4,0,4,0,0
Gb:maj(#4)/#4,4,0,4,0,0
"F#:7(4,b9)/4",4,0,4,0,0
A:aug(7),4,0,4,0,0
"G#:7(b13,b9,11)",4,0,4,0,0
"B:7(#9,b6)/b6",4,0,4,0,0
Bb:7(6)/6,4,0,4,0,0
G:min6/b3,4,0,4,0,0
C#:7/5,4,0,4,0,0
B:maj6(9)/5,4,0,4,0,0
B:min6(9)/5,4,0,4,0,0
D#:maj7,4,0,4,0,0
"E:sus4(b7,b9)",4,0,4,0,0
"Ab:aug(b7,9)",4,0,4,0,0
E:min9/9,4,0,4,0,0
F#:min9/b7,4,0,4,0,0
D:9/5,4,0,3,1,0
Db:7(#4)/#4,4,0,4,0,0
Eb:maj9/9,4,0,4,0,0
C:9/3,4,0,4,0,0
"Ab:7(b9,#11)",4,0,4,0,0
Eb:min6/b3,4,0,4,0,0
A#:min7(b6)/b6,4,0,4,0,0
C#:maj(4)/4,4,0,4,0,0
A:min6/5,4,0,4,0,0
G#:maj(9),4,0,4,0,0
D:min(#1)/#1,4,0,4,0,0
F:min(9)/9,4,0,4,0,0
Bb:min7/b3,4,0,4,0,0
Gb:min6(#9)/#9,4,0,4,0,0
D:7(#1)/#1,4,0,4,0,0
G:sus4(b7)/b7,4,0,4,0,0
E:maj6(9)/9,4,0,4,0,0
Bb:sus4/4,4,0,4,0,0
Bb:sus4/5,4,0,4,0,0
D:sus4(9)/9,4,0,4,0,0
D:dim7(6)/6,4,0,4,0,0
G:min(4)/4,4,0,4,0,0
Db:9/b7,4,0,4,0,0
F#:maj(9)/9,4,0,4,0,0
G:9/9,4,0,4,0,0
C#:maj(b4)/b4,4,0,4,0,0
Bb:maj(b6)/b6,4,0,4,0,0
"G:7(#11,b9)",4,0,4,0,0
Gb:7(#11),4,0,4,0,0
Bb:maj9(#11)/5,4,0,4,0,0
E:maj(b1)/b1,4,0,4,0,0
"C:7(#9,#11)",4,0,4,0,0
E:maj(b9),4,0,0,4,0
Bb:maj/9,4,0,0,4,0
F#:dim/b3,4,0,0,4,0
G:minmaj7/5,4,0,0,4,0
B:maj(3),4,0,0,4,0
F:min/7,4,0,0,4,0
F:min/6,4,0,0,4,0
"D:min7(2,b3,4)",4,0,0,4,0
A:7(13),4,0,0,4,0
A:maj(5),4,0,0,4,0
E:maj/b1,4,0,0,0,4
D:min/7,4,0,0,0,4
Bb:aug(9),4,0,0,0,4
"Gb:maj7(9,#11)",4,0,0,0,4
D:aug(9),4,0,0,0,4
Ab:9/3,4,0,0,0,4
B:maj/b9,4,0,0,0,4
G:sus4/9,4,0,0,0,4
"C:sus4(9,11,13)",4,0,0,0,4
A:7(#11)/b5,3,3,0,0,0
Ab:5/b7,3,3,0,0,0
Ab:maj/b7,3,2,0,1,0
Ab:maj6/4,3,3,0,0,0
G:7(b13),3,3,0,0,0
C#:sus2(b7),3,3,0,0,0
B:min(11)/7,3,3,0,0,0
G:maj6(7),3,3,0,0,0
B:min(11)/4,3,3,0,0,0
B:min11,3,3,0,0,0
Eb:maj(#11),3,3,0,0,0
F:9/3,3,3,0,0,0
G:9/5,3,3,0,0,0
B:7(b9)/b2,3,3,0,0,0
D:maj9(13),3,3,0,0,0
F#:hdim7/b5,3,3,0,0,0
Eb:7(#11),3,2,1,0,0
A:7(b9)/5,3,3,0,0,0
A:7(b9)/b7,3,3,0,0,0
Eb:maj7(#11)/3,3,3,0,0,0
B:5(b7),3,3,0,0,0
C:7(b9)/3,3,2,1,0,0
G:maj/#4,3,2,0,1,0
F:min(b13),3,3,0,0,0
D:min9/b7,3,1,2,0,0
A:9/3,3,3,0,0,0
Bb:minmaj7/7,3,3,0,0,0
E:7(b9)/4,3,3,0,0,0
"B:7(b9,b13)",3,3,0,0,0
F:min11,3,3,0,0,0
E:dim/b5,3,3,0,0,0
Ab:maj(9)/6,3,3,0,0,0
Bb:min11/b7,3,3,0,0,0
A:9/5,3,1,1,1,0
F:min7(11),3,3,0,0,0
"A:maj(11,9)",3,3,0,0,0
F:hdim7/b7,3,3,0,0,0
Db:maj6(9)/5,3,3,0,0,0
B:maj6/5,3,3,0,0,0
Eb:maj(b9),3,3,0,0,0
E:maj7(b1)/b1,3,0,3,0,0
Db:min6(9),3,0,3,0,0
Eb:aug(7),3,0,3,0,0
"B:sus4(b7,b9)",3,0,3,0,0
"D:maj9(11,13)",3,0,3,0,0
"Ab:9(11,13)/3",3,0,3,0,0
Gb:maj(#5)/#5,3,0,3,0,0
F:min9/b7,3,0,3,0,0
C:maj9/5,3,0,3,0,0
"Eb:aug(b7,b9)",3,0,3,0,0
Db:maj(#5)/#5,3,0,3,0,0
E:minmaj7/b3,3,0,3,0,0
F:aug(7),3,0,3,0,0
C#:9(#11),3,0,3,0,0
Db:min6(#9)/#9,3,0,3,0,0
G:dim7/b3,3,0,3,0,0
"C:7(b13,b9,11)",3,0,3,0,0
D#:7(#9),3,0,3,0,0
"C#:7(#11,b9)",3,0,3,0,0
C:min9/9,3,0,3,0,0
